GID,Trait,Env,Response
1,GY,LND15,1.206581667
2,GY,LND15,2.715581667
3,GY,LND15,3.119981667
4,GY,LND15,2.293581667
5,GY,LND15,2.868681667
6,GY,LND15,2.526881667
7,GY,LND15,2.832281667
8,GY,LND15,3.093281667
9,GY,LND15,2.805681667
10,GY,LND15,2.463881667
11,GY,LND15,1.960581667
12,GY,LND15,2.374581667
13,GY,LND15,3.237081667
14,GY,LND15,3.506171667
15,GY,LND15,1.754581667
16,GY,LND15,2.059581667
17,GY,LND15,2.203581667
18,GY,LND15,3.353461667
19,GY,LND15,1.987581667
20,GY,LND15,3.174081667
21,GY,LND15,3.137781667
22,GY,LND15,2.724881667
23,GY,LND15,2.904281667
24,GY,LND15,3.137781667
25,GY,LND15,2.509081667
26,GY,LND15,3.137781667
27,GY,LND15,1.951581667
28,GY,LND15,1.861581667
29,GY,LND15,2.005581667
30,GY,LND15,2.077581667
31,GY,LND15,2.868681667
32,GY,LND15,2.472781667
33,GY,LND15,2.940581667
34,GY,LND15,1.879581667
35,GY,LND15,2.239581667
36,GY,LND15,2.724881667
37,GY,LND15,1.951581667
38,GY,LND15,2.760381667
39,GY,LND15,2.400581667
40,GY,LND15,2.446081667
41,GY,LND15,2.679581667
42,GY,LND15,2.410481667
43,GY,LND15,3.632181667
44,GY,LND15,2.482081667
45,GY,LND15,2.446481667
46,GY,LND15,1.960581667
47,GY,LND15,1.583581667
48,GY,LND15,2.069581667
49,GY,LND15,2.625881667
50,GY,LND15,1.476581667
51,GY,LND15,2.176581667
52,GY,LND15,1.817581667
53,GY,LND15,2.805981667
54,GY,LND15,1.242581667
55,GY,LND15,2.248581667
56,GY,LND15,2.140581667
57,GY,LND15,2.464281667
58,GY,LND15,2.500581667
59,GY,LND15,2.634781667
60,GY,LND15,2.113581667
61,GY,LND15,3.012081667
62,GY,LND15,2.454681667
63,GY,LND15,2.706681667
64,GY,LND15,1.880581667
65,GY,LND15,1.915581667
66,GY,LND15,2.832681667
67,GY,LND15,2.293581667
68,GY,LND15,2.365581667
69,GY,LND15,2.841581667
70,GY,LND15,1.871581667
71,GY,LND15,2.644381667
72,GY,LND15,2.230581667
73,GY,LND15,2.859781667
74,GY,LND15,2.733781667
75,GY,LND15,3.093281667
76,GY,LND15,1.817581667
77,GY,LND15,2.922381667
78,GY,LND15,1.825581667
79,GY,LND15,2.437581667
80,GY,LND15,2.149581667
81,GY,LND15,2.203581667
82,GY,LND15,2.778581667
83,GY,LND15,2.976481667
84,GY,LND15,2.814881667
85,GY,LND15,2.221581667
86,GY,LND15,2.383581667
87,GY,LND15,2.149581667
88,GY,LND15,1.771581667
89,GY,LND15,3.838681667
90,GY,LND15,2.239581667
91,GY,LND15,1.951581667
92,GY,LND15,2.850481667
93,GY,LND15,1.709581667
94,GY,LND15,1.969581667
95,GY,LND15,2.059581667
96,GY,LND15,2.527281667
97,GY,LND15,2.131581667
98,GY,LND15,2.328581667
99,GY,LND15,2.598781667
100,GY,LND15,2.347581667
101,GY,LND15,2.328581667
102,GY,LND15,2.311581667
103,GY,LND15,2.436881667
104,GY,LND15,0.801581667
105,GY,LND15,2.688481667
106,GY,LND15,2.580981667
107,GY,LND15,2.670681667
108,GY,LND15,2.886481667
109,GY,LND15,2.670681667
110,GY,LND15,3.119981667
111,GY,LND15,1.933581667
112,GY,LND15,2.688481667
113,GY,LND15,2.338581667
114,GY,LND15,2.787881667
115,GY,LND15,2.544681667
116,GY,LND15,0.765581667
117,GY,LND15,2.275581667
118,GY,LND15,2.724881667
119,GY,LND15,0.568581667
120,GY,LND15,2.239581667
121,GY,LND15,3.227481667
122,GY,LND15,2.670681667
123,GY,LND15,2.562481667
124,GY,LND15,2.203581667
125,GY,LND15,2.472781667
126,GY,LND15,2.400581667
127,GY,LND15,2.562481667
128,GY,LND15,2.266581667
129,GY,LND15,2.859781667
130,GY,LND15,2.877581667
131,GY,LND15,2.535781667
132,GY,LND15,2.787881667
133,GY,LND15,2.374581667
134,GY,LND15,2.535781667
135,GY,LND15,3.039181667
136,GY,LND15,2.284581667
137,GY,LND15,3.039181667
138,GY,LND15,3.182981667
139,GY,LND15,1.870581667
140,GY,LND15,2.607681667
141,GY,LND15,2.661781667
142,GY,LND15,2.805681667
143,GY,LND15,2.895381667
144,GY,LND15,2.661781667
145,GY,LND15,2.967281667
146,GY,LND15,2.644081667
147,GY,LND15,2.302581667
148,GY,LND15,2.589881667
149,GY,LND15,2.715981667
150,GY,LND15,2.463881667
151,GY,LND15,1.889581667
152,GY,LND15,1.934581667
153,GY,LND15,2.814581667
154,GY,LND15,2.005581667
155,GY,LND15,1.538581667
156,GY,LND15,2.077581667
157,GY,LND15,2.096581667
158,GY,LND15,1.844581667
159,GY,LND15,2.257581667
160,GY,LND15,1.898581667
161,GY,LND15,1.790581667
162,GY,LND15,2.077581667
163,GY,LND15,2.437181667
164,GY,LND15,2.545481667
165,GY,LND15,2.293581667
166,GY,LND15,2.419381667
167,GY,LND15,2.275581667
168,GY,LND15,2.652981667
169,GY,LND15,2.455781667
170,GY,LND15,2.221581667
171,GY,LND15,2.221581667
172,GY,LND15,1.682581667
173,GY,LND15,1.574581667
174,GY,LND15,2.168581667
175,GY,LND15,2.796781667
176,GY,LND15,2.689281667
177,GY,LND15,2.509081667
178,GY,LND15,2.131581667
179,GY,LND15,2.275581667
180,GY,LND15,2.383581667
181,GY,LND15,2.635181667
182,GY,LND15,2.886481667
183,GY,LND15,2.509081667
184,GY,LND15,3.012481667
185,GY,LND15,2.940581667
186,GY,LND15,3.300081667
187,GY,LND15,2.761181667
188,GY,LND15,2.922781667
189,GY,LND15,2.509081667
190,GY,LND15,2.580981667
191,GY,LND15,2.473581667
192,GY,LND15,2.068581667
193,GY,LND15,2.733781667
194,GY,LND15,2.158581667
195,GY,LND15,2.176581667
196,GY,LND15,2.697381667
