GID,Trait,Env,Response
1,GY,PUL15,8.35918
2,GY,PUL15,7.30168
3,GY,PUL15,5.10828
4,GY,PUL15,6.01628
5,GY,PUL15,5.70128
6,GY,PUL15,6.64918
7,GY,PUL15,6.53058
8,GY,PUL15,6.29328
9,GY,PUL15,6.25428
10,GY,PUL15,5.89828
11,GY,PUL15,6.05628
12,GY,PUL15,6.84708
13,GY,PUL15,6.88638
14,GY,PUL15,7.04508
15,GY,PUL15,7.5986
16,GY,PUL15,7.27838
17,GY,PUL15,8.07308
18,GY,PUL15,8.34958
19,GY,PUL15,6.33328
20,GY,PUL15,9.37728
21,GY,PUL15,7.51928
22,GY,PUL15,8.31028
23,GY,PUL15,7.87508
24,GY,PUL15,7.51928
25,GY,PUL15,8.58628
26,GY,PUL15,6.92628
27,GY,PUL15,8.62628
28,GY,PUL15,7.32138
29,GY,PUL15,8.50748
30,GY,PUL15,7.35698
31,GY,PUL15,7.95438
32,GY,PUL15,6.84688
33,GY,PUL15,8.94228
34,GY,PUL15,6.64978
35,GY,PUL15,4.71228
36,GY,PUL15,5.34528
37,GY,PUL15,5.66128
38,GY,PUL15,6.84688
39,GY,PUL15,6.17528
40,GY,PUL15,7.00498
41,GY,PUL15,6.80778
42,GY,PUL15,5.54228
43,GY,PUL15,7.83528
44,GY,PUL15,8.24058
45,GY,PUL15,8.12198
46,GY,PUL15,8.08268
47,GY,PUL15,7.88478
48,GY,PUL15,5.47328
49,GY,PUL15,7.96408
50,GY,PUL15,6.73868
51,GY,PUL15,6.97588
52,GY,PUL15,6.54078
53,GY,PUL15,6.89658
54,GY,PUL15,6.58008
55,GY,PUL15,6.46128
56,GY,PUL15,6.06628
57,GY,PUL15,6.89638
58,GY,PUL15,6.77778
59,GY,PUL15,5.51228
60,GY,PUL15,5.71028
61,GY,PUL15,6.14528
62,GY,PUL15,5.67128
63,GY,PUL15,8.60628
64,GY,PUL15,5.98728
65,GY,PUL15,7.81548
66,GY,PUL15,6.31328
67,GY,PUL15,7.26238
68,GY,PUL15,7.53892
69,GY,PUL15,8.51778
70,GY,PUL15,7.17308
71,GY,PUL15,7.33178
72,GY,PUL15,6.46228
73,GY,PUL15,6.30428
74,GY,PUL15,8.03318
75,GY,PUL15,8.94228
76,GY,PUL15,7.01518
77,GY,PUL15,5.67128
78,GY,PUL15,6.11528
79,GY,PUL15,8.13198
80,GY,PUL15,7.49964
81,GY,PUL15,7.30168
82,GY,PUL15,7.61824
83,GY,PUL15,7.65758
84,GY,PUL15,7.14378
85,GY,PUL15,6.59008
86,GY,PUL15,6.03628
87,GY,PUL15,6.03628
88,GY,PUL15,5.74928
89,GY,PUL15,7.69678
90,GY,PUL15,6.74828
91,GY,PUL15,4.68228
92,GY,PUL15,7.65788
93,GY,PUL15,6.58098
94,GY,PUL15,6.70908
95,GY,PUL15,6.50128
96,GY,PUL15,6.59038
97,GY,PUL15,7.26208
98,GY,PUL15,7.14348
99,GY,PUL15,6.43228
100,GY,PUL15,7.26208
101,GY,PUL15,6.66898
102,GY,PUL15,7.34138
103,GY,PUL15,5.90828
104,GY,PUL15,6.10528
105,GY,PUL15,6.39228
106,GY,PUL15,6.70908
107,GY,PUL15,7.26208
108,GY,PUL15,7.34138
109,GY,PUL15,7.69718
110,GY,PUL15,6.94628
111,GY,PUL15,7.26208
112,GY,PUL15,6.70908
113,GY,PUL15,7.83528
114,GY,PUL15,6.60988
115,GY,PUL15,8.40888
116,GY,PUL15,6.66898
117,GY,PUL15,7.30208
118,GY,PUL15,7.18348
119,GY,PUL15,5.79928
120,GY,PUL15,7.49926
121,GY,PUL15,8.05298
122,GY,PUL15,7.38068
123,GY,PUL15,7.14348
124,GY,PUL15,6.59038
125,GY,PUL15,7.34138
126,GY,PUL15,6.90618
127,GY,PUL15,7.34138
128,GY,PUL15,7.00498
129,GY,PUL15,7.28228
130,GY,PUL15,6.05628
131,GY,PUL15,6.76778
132,GY,PUL15,7.5194653
133,GY,PUL15,6.60988
134,GY,PUL15,7.20288
135,GY,PUL15,6.57058
136,GY,PUL15,6.80778
137,GY,PUL15,8.54728
138,GY,PUL15,7.91458
139,GY,PUL15,8.27038
140,GY,PUL15,6.88638
141,GY,PUL15,7.83528
142,GY,PUL15,7.20288
143,GY,PUL15,8.34968
144,GY,PUL15,8.15178
145,GY,PUL15,9.18028
146,GY,PUL15,7.59804
147,GY,PUL15,8.23108
148,GY,PUL15,7.16368
149,GY,PUL15,9.77328
150,GY,PUL15,8.22088
151,GY,PUL15,8.69528
152,GY,PUL15,7.70718
153,GY,PUL15,6.87698
154,GY,PUL15,6.32328
155,GY,PUL15,7.46998
156,GY,PUL15,6.99558
157,GY,PUL15,6.24428
158,GY,PUL15,6.71828
159,GY,PUL15,6.95548
160,GY,PUL15,5.80928
161,GY,PUL15,6.79758
162,GY,PUL15,5.33528
163,GY,PUL15,6.00628
164,GY,PUL15,6.63968
165,GY,PUL15,5.41328
166,GY,PUL15,6.63968
167,GY,PUL15,6.12528
168,GY,PUL15,6.91618
169,GY,PUL15,6.00628
170,GY,PUL15,6.79758
171,GY,PUL15,7.15348
172,GY,PUL15,5.73028
173,GY,PUL15,4.93928
174,GY,PUL15,6.36228
175,GY,PUL15,6.59968
